Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Framework based on building information modeling, mixed reality, and a cloud platform to support information flow in facility management","Frontiers of Engineering Management","","7","1","10.1007/s42524-019-0071-y","Berardo NaticchiaAlessandra CorneliAlessandro Carbonari","2020","http://link.springer.com/article/10.1007/s42524-019-0071-y","Article"
"A novel access control mechanism for secure cloud communication using SAML based token creation","Journal of Ambient Intelligence and Humanized Computing","","","","10.1007/s12652-020-02427-8","Gowtham MamidisettiRamesh MakalaChunduru Anilkumar","2020","http://link.springer.com/article/10.1007/s12652-020-02427-8","Article"
"Resource scheduling for delay-sensitive application in three-layer fog-to-cloud architecture","Peer-to-Peer Networking and Applications","","13","5","10.1007/s12083-020-00900-x","Zibin RenTing LuXin WangWenjing GuoGuohua LiuShan Chang","2020","http://link.springer.com/article/10.1007/s12083-020-00900-x","Article"
"Resource Management in a Containerized Cloud: Status and Challenges","Journal of Network and Systems Management","","28","2","10.1007/s10922-019-09504-0","Pieter-Jan MaenhautBruno VolckaertVeerle OngenaeFilip De Turck","2020","http://link.springer.com/article/10.1007/s10922-019-09504-0","Article"
"Adaptive Workload Forecasting in Cloud Data Centers","Journal of Grid Computing","","18","1","10.1007/s10723-019-09501-2","Eduard ZharikovSergii TelenykPetro Bidyuk","2020","http://link.springer.com/article/10.1007/s10723-019-09501-2","Article"
"Cloud–SPHERE: Towards Secure UAV Service Provision","Journal of Intelligent & Robotic Systems","","97","1","10.1007/s10846-019-01046-6","Mariana RodriguesKalinka Regina Lucas Jaquie Castelo Branco","2020","http://link.springer.com/article/10.1007/s10846-019-01046-6","Article"
"Dynamic resource provisioning for cyber-physical systems in cloud-fog-edge computing","Journal of Cloud Computing","","9","1","10.1186/s13677-020-00181-y","Zhanyang XuYanqi ZhangHaoyuan LiWeijing YangQuan Qi","2020","http://link.springer.com/article/10.1186/s13677-020-00181-y","Article"
"DCARN: Deep Context Aware Recurrent Neural Network for Semantic Segmentation of Large Scale Unstructured 3D Point Cloud","Neural Processing Letters","","","","10.1007/s11063-020-10368-8","Saba MehmoodMuhammad ShahzadMuhammad Moazam Fraz","2020","http://link.springer.com/article/10.1007/s11063-020-10368-8","Article"
"A deep learning-based driver distraction identification framework over edge cloud","Neural Computing and Applications","","","","10.1007/s00521-020-05328-1","Abdu GumaeiMabrook Al-RakhamiMohammad Mehedi HassanAtif AlamriMusaed AlhusseinMd. Abdur RazzaqueGiancarlo Fortino","2020","http://link.springer.com/article/10.1007/s00521-020-05328-1","Article"
"A real-time service system in the cloud","Journal of Ambient Intelligence and Humanized Computing","","11","3","10.1007/s12652-019-01203-7","Aneta Poniszewska-MarandaRadosław MatusiakNatalia KryvinskaAnsar-Ul-Haque Yasar","2020","http://link.springer.com/article/10.1007/s12652-019-01203-7","Article"
"Enhancing the Cloud Inter-operation Toolkit (CIT) to Support Multiple Cloud Service Models","Journal of Grid Computing","","18","3","10.1007/s10723-020-09516-0","S. KirthicaI. SaravananRajeswari Sridhar","2020","http://link.springer.com/article/10.1007/s10723-020-09516-0","Article"
"Smart Contracts for Service-Level Agreements in Edge-to-Cloud Computing","Journal of Grid Computing","","18","4","10.1007/s10723-020-09534-y","Petar KochovskiVlado StankovskiSandi GecFrancescomaria FaticantiMarco SaviDomenico SiracusaSeungwoo Kum","2020","http://link.springer.com/article/10.1007/s10723-020-09534-y","Article"
"Design of Cloud Computing and Microservice-Based Urban Rail Transit Integrated Supervisory Control System Plus","Urban Rail Transit","","6","4","10.1007/s40864-020-00138-z","Songwei YuHaili ChangHanjun Wang","2020","http://link.springer.com/article/10.1007/s40864-020-00138-z","Article"
"Bottleneck Detection in Cloud Computing Performance and Dependability: Sensitivity Rankings for Hierarchical Models","Journal of Network and Systems Management","","28","4","10.1007/s10922-020-09562-9","Rubens MatosJamilson DantasEltton AraujoPaulo Maciel","2020","http://link.springer.com/article/10.1007/s10922-020-09562-9","Article"
"An attribute-based lightweight cloud data access control using hypergraph structure","The Journal of Supercomputing","","76","8","10.1007/s11227-019-03119-7","R. MythiliRevathi VenkataramanT. Sai Raj","2020","http://link.springer.com/article/10.1007/s11227-019-03119-7","Article"
"A dockerized framework for hierarchical frequency-based document clustering on cloud computing infrastructures","Journal of Cloud Computing","","9","1","10.1186/s13677-019-0150-y","Maria Th. KotouzaFotis E. PsomopoulosPericles A. Mitkas","2020","http://link.springer.com/article/10.1186/s13677-019-0150-y","Article"
"SPeCECA: a smart pervasive chatbot for emergency case assistance based on cloud computing","Cluster Computing","","23","4","10.1007/s10586-019-03020-1","Nourchène OuerhaniAhmed MaalelHenda Ben Ghézela","2020","http://link.springer.com/article/10.1007/s10586-019-03020-1","Article"
"EAAM: Energy-aware application management strategy for FPGA-based IoT-Cloud environments","The Journal of Supercomputing","","76","12","10.1007/s11227-020-03240-y","Atanu MajumderSangeet SahaAmlan Chakrabarti","2020","http://link.springer.com/article/10.1007/s11227-020-03240-y","Article"
"HealtheDataLab – a cloud computing solution for data science and advanced analytics in healthcare with application to predicting multi-center pediatric readmissions","BMC Medical Informatics and Decision Making","","20","1","10.1186/s12911-020-01153-7","Louis EhwerhemuephaGary GasperinoNathaniel BischoffSharief TaramanAnthony ChangWilliam Feaster","2020","http://link.springer.com/article/10.1186/s12911-020-01153-7","Article"
"Multi-Objective Task and Workflow Scheduling Approaches in Cloud Computing: a Comprehensive Review","Journal of Grid Computing","","18","3","10.1007/s10723-020-09533-z","Mehdi HosseinzadehMarwan Yassin GhafourHawkar Kamaran HamaBay VoAfsane Khoshnevis","2020","http://link.springer.com/article/10.1007/s10723-020-09533-z","Article"
"2PC*: a distributed transaction concurrency control protocol of multi-microservice based on cloud computing platform","Journal of Cloud Computing","","9","1","10.1186/s13677-020-00183-w","Pan FanJing LiuWei YinHui WangXiaohong ChenHaiying Sun","2020","http://link.springer.com/article/10.1186/s13677-020-00183-w","Article"
"Analysis of adversary activities using cloud-based web services to enhance cyber threat intelligence","Service Oriented Computing and Applications","","14","3","10.1007/s11761-019-00285-7","Hamad Al-MohannadiIrfan AwanJassim Al Hamar","2020","http://link.springer.com/article/10.1007/s11761-019-00285-7","Article"
"Economic impact of energy saving techniques in cloud server","Cluster Computing","","23","2","10.1007/s10586-019-02946-w","Bilal AhmadZaib MaroofSally McCleanDarryl CharlesGerard Parr","2020","http://link.springer.com/article/10.1007/s10586-019-02946-w","Article"
"A secure remote health monitoring model for early disease diagnosis in cloud-based IoT environment","Personal and Ubiquitous Computing","","","","10.1007/s00779-020-01475-3","Samira AkhbarifarHamid Haj Seyyed JavadiAmir Masoud RahmaniMehdi Hosseinzadeh","2020","http://link.springer.com/article/10.1007/s00779-020-01475-3","Article"
"Energy and time efficient task offloading and resource allocation on the generic IoT-fog-cloud architecture","Peer-to-Peer Networking and Applications","","13","2","10.1007/s12083-019-00783-7","Huaiying SunHuiqun YuGuisheng FanLiqiong Chen","2020","http://link.springer.com/article/10.1007/s12083-019-00783-7","Article"
"Quantifying the Cost of Distrust: Comparing Blockchain and Cloud Services for Business Process Execution","Information Systems Frontiers","","22","2","10.1007/s10796-018-9876-1","Paul RimbaAn Binh TranIngo WeberMark StaplesAlexander PonomarevXiwei Xu","2020","http://link.springer.com/article/10.1007/s10796-018-9876-1","Article"
"An implementation of cloud-based platform with R packages for spatiotemporal analysis of air pollution","The Journal of Supercomputing","","76","3","10.1007/s11227-017-2189-1","Chao-Tung YangYu-Wei ChanJung-Chun LiuBen-Shen Lou","2020","http://link.springer.com/article/10.1007/s11227-017-2189-1","Article"
"Smart water consumption measurement system for houses using IoT and cloud computing","Environmental Monitoring and Assessment","","192","9","10.1007/s10661-020-08535-4","Henry FuentesDavid Mauricio","2020","http://link.springer.com/article/10.1007/s10661-020-08535-4","Article"
